Numero; Nombre; nombre cientifico; alimentacion; Habitat; Tipo; Descripcion
001;Iguana azul de Gran Caimán;Cyclura lewisi;Herviboro;Terrestre;Reptil;la iguana azul de Gran Caimán se reproduce anualmente y pone de uno a 22 huevos dependiendo de la edad y el tamaño de la hembra. Las crías son vulnerables a las serpientes nativas y tienen una tasa de mortalidad muy alta. Darle ventaja a las crías durante los primeros dos años aumenta enormemente la supervivencia.
002;Zarigüeya pigmea de montaña;Burramys parvus;Omnivoro ;Terrestre;Mamifero;El hábitat extremadamente restringido ha sido fragmentado o destruido por la construcción de carreteras, la construcción de presas/acueductos y el desarrollo de infraestructura para la industria del esquí alpino. Se prevé que la marginación y la pérdida de hábitat y la gravedad de la depredación aumentarán con el calentamiento global.
003;Gorila de montaña;Gorilla beringei beringei;Hervivoro;Terrestre;Mamifero;El gorila de montaña tiene el pelo más largo y oscuro que el resto de los gorilas, lo que le permite vivir en altitud y habitar áreas donde la temperatura puede descender por debajo los 0 °C. Se ha adaptado a la vida en el suelo mejor que otras especies de primates no humanos y de hecho sus pies se asemejan bastante a los de los seres humanos.
004;Oso polar;Ursus maritimus;Carnivoro;Terrestre;Mamifero;El oso polar presenta un perfil más alargado que el de otros osos y las patas más desarrolladas, tanto para caminar como para nadar largas distancias. Las orejas y la cola son muy reducidas, para mantener mejor el calor corporal, al igual que en muchos otros mamíferos árticos.
005;Lince ibérico;Lynx pardinus;Carnivoro;Terrestre;Mamifero;Es un felino de aspecto grácil, con patas largas y una cola corta con una borla negra en el extremo que suele mantener erguida batiéndola en momentos de peligro o excitación. Sus características orejas puntiagudas están terminadas en un pincel de pelos negros rígidos que favorece su camuflaje al descomponer la redonda silueta de su cabeza.
006;Tigre de Sumatra;Panthera tigris sumatrae;Carnivoro;Terrestre;Mamifero; Los últimos análisis de ADN revelan la existencia de ciertas características genéticas únicas, indicando que el tigre de Sumatra está en el límite entre la subespecie y su separación como nueva especie diferente del resto de tigres, si no se extingue antes. Debido a esto, se ha sugerido que deberían destinarse aún más esfuerzos a la conservación de los tigres de Sumatra que a los de otras subespecies
007;Rinoceronte blanco;Ceratotherium simum;Herviboro;Terrestre;Mamifero;El labio ancho y recto se debe a que este animal se alimenta preferentemente de hierbas que recoge del suelo, mientras que el rinoceronte negro lo hace de vegetación arbustiva. Gracias a esto las dos especies de rinocerontes africanos, por lo demás muy similares en hábitos, pueden coexistir en un mismo ecosistema
008;Leopardo de las nieves;Panthera uncia;Carnivoro;Terrestre;Mamifero;El irbis es un depredador muy fuerte, capaz de cazar animales que triplican su tamaño. Tiene uno de los saltos más largos entre los félidos, de hasta 15 m.3 Está acostumbrado a caminar por montañas rocosas y aprovecha esto para camuflarse y así acechar a sus presas.
009;Panda gigante; Ailuropoda melanoleuca;Carnivoro;Terrestre;Mamifero;Aunque pertenece al orden de los carnívoros, el panda es un animal mayormente herbívoro, alimentándose casi exclusivamente de cerca de treinta especies de caña de bambú (el 99 % de su dieta consiste en bambú). Se sabe que también utiliza insectos y huevos como fuente de proteínas. Es posible que su dieta incluya, además, roedores y crías de ciervo almizclero.
010;Chimpancé común;Pan troglodytes;Herviboro;Terrestre;Mamifero;es una especie de primate catarrino de la familia de los homínidos propia de África tropical. Los chimpancés (junto a los bonobos) son los parientes vivos más cercanos al ser humano